Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
Arts Council England,Arts,Jemma Daniels,Bishopsland workshops,07/04/2009,1624,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Kilter Theatre,Roots,07/04/2009,12452,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Percy Community Centre,Percy Community Centre Youth Music,31/03/2009,21739,Youth Music - Make It Sound,,BATH,Bath and North East Somerset,,South West,Bath,South West
UK Sport,Sport,Pentathlon GB,Performance Pathway,27/03/2009,526900,,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Sport,Sport,Pentathlon GB,Performance Pathway,27/03/2009,2345448,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Ekta Kaul,Developing a Targeting Marketing Strategy,12/08/2008,5000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Freshford Pre-school,"A project to set up a pre-school in Freshford, Bath, to provide early years education to young children in the local community. .",11/03/2009,3653,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Comedy Festival,A project by this Bath company to deliver a comedy festival that will celebrate 'The art of making people laugh'.,10/02/2009,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,21st Bath Scout Group,"A project by this scout group based in Lambridge, Bath, to improve access to their scout hut.",10/02/2009,8922,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Bath Preservation Trust,"Redevelopment, re-unification and re-presentation of 1/1A Royal Crescent",11/12/2008,1454900,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Herschel House Trust,Events and Exhibition programme for the International Year of Astronomy 2009,03/12/2008,13100,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Children's Society,"New Travellers, Old Story",03/12/2008,47500,,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Manvers Street Baptist Church,This church will use funding to set up a cr+Â¿che which run alongside the church's postnatal support groups. This will enable more women suffering from postnatal depression to access the services provided by the group.,12/11/2008,2002,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,St Johns C E V A Primary School,A project by this Bath based school to develop a plot of land for use by its gardening club. The school plans to erect a polytunnel to allow them to grow their own food to be used in the cookery club and the school kitchens. The project will provide acces,12/11/2008,8970,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Percy Community Centre,"This community centre will use funding to hold a series of programmes and workshops focused towards the needs of local people. The grant will pay for venue hire, facilitator costs and session workers, resources, staff training, marketing and coordination.",12/11/2008,9953,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Elizabeth Peers,Bishopsland trust: Bishopsland workshops,03/11/2008,1790,Grants for the arts,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Hollyhocks,This charity based in Bradford on Avon will move its current kindergarten to a permanent dedicated site within the local school.,13/10/2008,9480,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Orchard Workshop,"This charity based in Woodstock, South Gloucestershire, will establish a training and support group for victims of domestic violence and abuse. The group will host courses in volunteering, DIY and various crafts as well as providing a creche. The project",13/10/2008,9114,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Sound Knowledge Music & Media Limited,This Bath-based company will train young people in the local community in establishing and running an internet radio service.,13/10/2008,9974,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath and District Citizens Advice Bureau,"The purpose of this new, five-year project, based in Bath and North Somerset, is to develop the Bath and District Advice Consortium to provide an integrated service, which will address the needs of the local community and further develop a voice for volun",06/10/2008,461435,Advice Plus,,BATH,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Get Active Partnership,GET ACTIVE Pathways to Sport and Active Leisure,30/09/2008,24584,Community Programme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Triumph Over Phobia (TOP U K),A project by this Bath group to improve the resources and skills at their disposal to improve the service they are able to offer to their volunteers and suffers of phobia. The grant will be spent on IT equipment.,15/09/2008,4400,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Nicola Barnaville,Development workshops and research,08/01/2008,2600,Grantsforthearts,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Beckington Tennis Association,"A project by this Mendip tennis club based in the Beckington and Rode area, to install electricity in the group's pavilion and lighting for two tennis courts. This will mean people who are at work all day can make use of the facilities during the evening,",15/09/2008,9996,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Avon County Rowing Club,Saltford rowing club will use the grant to purchase new boats and offer coaching to female beginners.,15/09/2008,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Hospital Broadcasts Society,A project by this hospital radio station based at the Royal United Hospital in Bath to purchase new broadcasting equipment which enables them to have greater variation to their programmes and deliver a better service.,11/08/2008,5576,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Chew Stoke Women's Institute,"A project by this Women's Institute based in Chew Stoke, Bristol, to provide the opportunity for members to attend courses at Denman College.",11/08/2008,8616,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath and North East Somerset Council,B&NES Literature Development Programme,05/08/2008,4468,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Atrial Fibrillation Association,A project by this charity in Bristol to produce booklets and newsletters to provide information and support to sufferers of Atrial Fibrillation and their carers.,14/07/2008,9420,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
